# period v_ray vstd_ray, c1, c1std, c2, c2std
  1.50 2.618 0.100 -0.00200 0.00930 0.00100 0.00856
  2.00 2.702 0.040 0.01212 0.01319 -0.01045 0.01026
  2.50 2.797 0.049 0.00743 0.01739 -0.01067 0.00948
  3.00 2.864 0.048 0.01242 0.01507 -0.01990 0.01435
  4.00 2.955 0.052 0.01274 0.01248 -0.02113 0.01575
  5.00 3.026 0.056 0.01289 0.01361 -0.02385 0.01529
  6.50 3.086 0.061 0.01533 0.01459 -0.02095 0.01636
  8.00 3.113 0.053 0.02297 0.01044 -0.02031 0.01368
 10.00 3.127 0.037 0.02200 0.00833 -0.02331 0.01222
 12.50 3.174 0.033 0.01945 0.00740 -0.02161 0.01040
 15.00 3.237 0.027 0.01351 0.00786 -0.01761 0.00835
 20.00 3.406 0.031 0.00303 0.00596 -0.01326 0.00764
 25.00 3.587 0.032 -0.00500 0.00618 -0.00735 0.00598
 30.00 3.726 0.032 -0.00932 0.00771 0.00055 0.00602
 40.00 3.857 0.021 0.00165 0.00577 -0.00229 0.00528
 50.00 3.926 0.023 0.00697 0.00703 -0.00832 0.00729
 65.00 4.001 0.045 0.01849 0.01393 -0.00765 0.00940
 80.00 3.961 0.053 0.01090 0.01401 -0.00100 0.00829
